utterance,intent
How does the cancellation charge work?,Cancellation Policy
When is flight SQ797 departing?,Flight Status
What's the policy for carrying sports equipment?,Sports Music Gear
Can I bring a vape on board?,Prohibited Items Faq
What is the pet travel policy? please,Pet Travel
Is a lighter allowed in checked baggage? thanks,Prohibited Items Faq
"Hi, can i check two bags?",Check In Luggage Faq
"Hello, What is the boarding time before departure? thank you",Flights Info
Is there a penalty if I cancel my booking?,Cancellation Policy
Please cancel my booking for flight SQ217.,Cancel Trip
What documents are required for medical travel?,Medical Policy
I want to make a complaint about my last flight.,Complaints
Is medical insurance included with the booking? kindly,Insurance
There is a tera in my suitcase after the ticket.,Damaged Bag
Can I bring a violin as carry-on?,Sports Music Gear
Can you cancel my ticket and refund me?,Cancel Trip
WHAT ITEMS ARE PROHIBITED ON FLIGHTS?,Prohibited Items Faq
WHAT IS THE CARRY-ON BAGGAGE ALLOWANCE? PLEASE,Carry On Luggage Faq
What's the current price for a one-way ticket to san francisco?,Fare Check
Do you have promo codes for trips?,Discounts
I am unhappy with the customer service I received.,Complaints
Is my surfboard allowed on the ticket?,Sports Music Gear
"Hi, What documents are required for pet travel? thanks",Pet Travel
Do you have promo codes for flights? thank you,Discounts
Is there a penalty if I cancel my booking?,Cancellation Policy
Can I carry a backpack and a laptop?,Carry On Luggage Faq
"Hello, Check trip ststateor LH843. kindly",Flight Status
"Hey, Where is my suitcase? It didn't come out on carousel. thank you",Missing Bag
Can I reserve a seat on the flight?,Seat Availability
"Good evening, Are there seats available on trip AI719?",Seat Availability
I want to report bad service on ticket UA665.,Complaints
Check flight stauts for ek565. kindly,Flight Status
Check price for flight AI234.,Fare Check
Can you cancel my ticket and refund me?,Cancel Trip
OW DO I REPORT A LOST BAGGAGE?,Missing Bag
What does the travel insurance cover?,Insurance
Tell me about meals on this booking. kindly,Flights Info
What seats are available in business class? please,Seat Availability
"Hi, What is your terminatelation policy?",Cancellation Policy
"Hi, How do I check seat availability?",Seat Availability
Can you cancel my ticket and refund me? please,Cancel Trip
"Good morning, What is the medical policy for passengers iwth special needs?",Medical Policy
How can I change my booked flight to Dubai?,Change Flight
Who can I contact to file a complaint?,Complaints
Can you help me reschedule booking BA862? please,Change Flight
What are the check-in baggage rules? thank you,Check In Luggage Faq
Can i bring my dog on the booking? kindly,Pet Travel
"Good morning, I need to change my flight date to 2025-12-01.",Change Flight
What is the checked baggage allowance for economy?,Check In Luggage Faq
Checn price for booking LH706.,Fare Check
"Hello, How can I apply a coupon to my booking? kindly",Discounts
Is there a penalty if I cancel my booking?,Cancellation Policy
Tell me about the cancellation rules for tickets.,Cancellation Policy
Are there any discounts for students? kindly,Discounts
CAN I TAKE MY GUITAR ON BOARD?,Sports Music Gear
My luggage id not arrive at JFK.,Missing Bag
IS MEDICAL INSURANCE INCLUDED WITH THE BOOKING? KINDLY,Insurance
Are there seats available on ticket AI431? please,Seat Availability
"GOOD MORNING, WHAT IS THE CHECKED BAGGAGE ALLOWANCE FOR ECONOMY?",Check In Luggage Faq
How many carry-on bags are allowed?,Carry On Luggage Faq
WHAT IS THE MEDICAL POLICY FOR PASSENGERS WITH SPECIAL NEEDS?,Medical Policy
ARE THERE RULES FOR TRAVELING WHILE PREGNANT?,Medical Policy
Do you offer travel insurance?,Insurance
What's the policy for carrying sports equipment?,Sports Music Gear
ANY SPECIAL FARES OR OFFERS AVAILABLE NOW?,Discounts
IS THERE A PENALTY IF I CANCEL MY BOOKING? KINDLY,Cancellation Policy
Lowest fare from Los Angeles to Dubai.,Fare Check
"Hello, I need to change my flight date to 2025-11-16.",Change Flight
Is a lighter allowed in checked baggage?,Prohibited Items Faq
Any special fares or offers available now?,Discounts
My bag did not arrive at SFO.,Missing Bag
PLEASE CALL OFF MY BOOKING FOTRIPHT LH703.,Cancel Trip
I need to call it off my reservation for Singapore.,Cancel Trip
Can I bring a violin as carry-on?,Sports Music Gear
What can i bring in my carry-on?,Carry On Luggage Faq
I want to terminate tripght to los angeles.,Cancel Trip
What documents are required for pet travel?,Pet Travel
Can I check two bags?,Check In Luggage Faq
Can I bring a vape on board?,Prohibited Items Faq
"Good morning, When is flight UA844 departing?",Flight Status
"Hi, There is a tear in my suitcase after the flight.",Damaged Bag
"Good morning, Can you cancel my ticket and refund me?",Cancel Trip
"Good morning, I had a terrible experience and want to complain.",Complaints
Can I check two baggages?,Check In Luggage Faq
"Hey, What's the policy for carrying sports equipment?",Sports Music Gear
"Good evening, How long is the layover in New York?",Flights Info
Can I carry a power bank in my bag? thank you,Prohibited Items Faq
"Hi, are there rules for traveling while pregnant? thanks",Medical Policy
LOWEST FARE FROM LOS ANGELES TO PARIS. KINDLY,Fare Check
"Good evening, Please call it off my bookingtriplight AI693.",Cancel Trip
How does the cancellation fee work? thank you,Cancellation Policy
Any special fares or offers availalbe now?,Discounts
Who can I contact to file a complaint?,Complaints
Do I get a refund if I terminate within 24 hours?,Cancellation Policy
"GOOD EVENING, WHAT IS THE CARRY-ON BAGGAGE ALLOWANCE?",Carry On Luggage Faq
What's the status of ticket LH783?,Flight Status
I want to make a complaint about my last flight.,Complaints
Can I take my guitar on board?,Sports Music Gear
What's the status of flight AI388? thank you,Flight Status
Lowest fare from San Francisco to Delhi.,Fare Check
"Good evening, Is overweight baggage charged and how much? thank you",Check In Luggage Faq
How many kilograms can I check in?,Check In Luggage Faq
Any special fares or offers available now?,Discounts
Is there a discount for early bookings?,Discounts
How much is the ticket to Mumbai next week?,Fare Check
"Hello, Can you help me reschedule flight EK746?",Change Flight
Is three a penalty if I cancel my booking?,Cancellation Policy
What is the checked baggage allowance for economy?,Check In Luggage Faq
Is there a penalty if I cancel my booking?,Cancellation Policy
Can I travel with medical oxygen?,Medical Policy
"GOOD MORNING, I NEED TO CANCEL MY RESERVATION FOR LOS ANGELES.",Cancel Trip
"Hi, I want to make a complaint about my last flight.",Complaints
Lowest fare from Los Angeles to Delhi.,Fare Check
How can I apply a coupon to my booking?,Discounts
Check ticket status for lh897. pease,Flight Status
Can I rbing a vape on board?,Prohibited Items Faq
What's the cost of travel insurance?,Insurance
"Hello, i need to rescheduletripight date to 2025-11-09.",Change Flight
I want to make a complaint about my last flight.,Complaints
I need to change my flight date to 2025-11-30.,Change Flight
Any special fares or offers available now?,Discounts
Can I check two bags? thanks,Check In Luggage Faq
Is there any extra charge for sports gear? kindly,Sports Music Gear
"Hey, is my surfboard allowed on the booking?",Sports Music Gear
What documents are required for pet travel?,Pet Travel
What documents are required for pet travel?,Pet Travel
I want to move my booking to another day.,Change Flight
"Hello, What's the policy for carrying sports equipment?",Sports Music Gear
I am unhappy with the customer service I received.,Complaints
I want to terminate bookingght to Paris.,Cancel Trip
Lowest fare from San Francisco to Los Angeles.,Fare Check
Can I travel with medical oxygen?,Medical Policy
"Good evening, File a missing baggage report for flight SQ222.",Missing Bag
Do pets travel in cargo or cabin?,Pet Travel
"Hello, Can I bring a violin as carry-on?",Sports Music Gear
Who can I contact to file a complaint? thank you,Complaints
What's the current price for a one-way ticket to New York?,Fare Check
Do pets travel in cargo or cabin?,Pet Travel
"Hello, are sharp objects allowed ik checked luggage? thank you",Prohibited Items Faq
"Good morning, What documets are required for medical travel? kindly",Medical Policy
I received a damaged baggage at CDG.,Damaged Bag
What is the checked luggagegage allowance for economy?,Check In Luggage Faq
What seats are available in business class?,Seat Availability
How long is the layover in singapore?,Flights Info
What are the baggage rules for international flights?,Flights Info
"Good evening, Do pets travel in cargo or cabin?",Pet Travel
What's the status of flight DL521?,Flight Status
"Hello, I want to report bad service on flight DL851.",Complaints
"HI, WHAT IS THE PET TRAVEL POLICY?",Pet Travel
"Hello, I had a terrible experience and wanp to complain. thank you",Complaints
I am unhappy with the customer service i received. kindly,Complaints
WHAT IS THE MEDICAL POLICY FOR PASSENGERS WITH SPECIAL NEEDS? THANK YOU,Medical Policy
Modify my flight to an earlier time please. thank you,Change Flight
I am unhappy with the customer service I received.,Complaints
"Hey, Who can I contact to file a complaint?",Complaints
HOW DO I CHECK SEAT AVAILABILITY?,Seat Availability
I want to report bad service on flight DL331.,Complaints
Tell me about the cancellation rules for tickets.,Cancellation Policy
What are the baggage rules for international flights?,Flights Info
How do i cancel my trip scheduled on 2025-11-21?,Cancel Trip
"Hi, Can you help me reschedule flight BA931?",Change Flight
What can I bring in my carry-on?,Carry On Luggage Faq
When is trip UA721 departing? kindly,Flight Status
"Good morning, Can you cancel my ticket and refund me?",Cancel Trip
Is there a penalty if I cancel my booking? please,Cancellation Policy
Can I reserve a seat on the trip?,Seat Availability
I need to call off my reservation for delhi.,Cancel Trip
How long is the layover in New York?,Flights Info
LOWEST FART FROM SAN FRANCISCO TO NEW YORK.,Fare Check
What is the medical policy for passengers with special needs? kindly,Medical Policy
IS OVERWEIGHT BAGGAGE CHARGED AND HOW MUCH?,Check In Luggage Faq
Can I take my guitar on board? kindly,Sports Music Gear
Who handles baggage damage claims?,Damaged Bag
How do I claim for a damaged bag? thanks,Damaged Bag
I received a damaged bag at CDG.,Damaged Bag
"Hello, What are the check-in baggage rules? kindly",Check In Luggage Faq
I am unhappy with the customer service I received.,Complaints
What is the medical policy for passengers with special needs?,Medical Policy
Do you have promo codes for flights?,Discounts
Can i travel with medical oxygen? please,Medical Policy
What is the checked baggage allowance for economy?,Check In Luggage Faq
What is the fare for a flight from Tokyo to New York on 2025-12-20?,Fare Check
How do I buy insurance for my ticket?,Insurance
My luggage arrived damaged. What do I do? thank you,Damaged Bag
WHO CAN I CONTACT TO FILE A COMPLAINT?,Complaints
"Good evening, Is a lighter allowed in checked baggage?",Prohibited Items Faq
Tell me about the terminatelation rules for tickets.,Cancellation Policy
How can I apply a coupon to my booking?,Discounts
Is there a penalty if I call off my booking?,Cancellation Policy
How do i buy insurance for my ticket?,Insurance
Is overweight baggage charged and how much?,Check In Luggage Faq
Can I travel with medical oxygen? please,Medical Policy
"Hello, is a lighter allowed in checked luggagegage?",Prohibited Items Faq
How do I claim for a damaged baggage?,Damaged Bag
I want to make a complaint about my last flight. kindly,Complaints
"Hey, change my flight to an earlier time please.",Change Flight
What's the current price for a one-way ticket to Los Angeles?,Fare Check
Can I check two luggages?,Check In Luggage Faq
"Good morning, Tell me about the cancellation rules for tickets.",Cancellation Policy
Can i carry a power bank in my bag?,Prohibited Items Faq
IS A LIGHTER PERMITTED IN CHECKED BAGGAGE?,Prohibited Items Faq
How much is the ticket to Delhi next week?,Fare Check
What is the et travel policy? please,Pet Travel
"Good evening, Where is my suitcase? It didn't come out on carousel. please",Missing Bag
When is flight BA170 departing?,Flight Status
What are the check-in baggage rules?,Check In Luggage Faq
Is medical insurance included with the booking?,Insurance
"Hey, What is the fare for a ticket from Tokyo to Mumbai on 2025-11-09? thanks",Fare Check
"Hey, What's the status of flight LH181?",Flight Status
"Hi, File a missing baggage report for flight SQ888.",Missing Bag
How many carry-on bags are allowed?,Carry On Luggage Faq
Are sharp objects allowed in checked luggage?,Prohibited Items Faq
How do I check seat availability? thank you,Seat Availability
WHAT DOCUMENTS ARE REQUIRED FOR PET TRAVEL?,Pet Travel
I am unhappy with the customer service I received.,Complaints
How long is the layover in Dubai? thanks,Flights Info
Tell me about meals on this flight.,Flights Info
Can you cancel my ticket and refund me?,Cancel Trip
How many carry-on bags are allowed? thank you,Carry On Luggage Faq
Can I check two bags?,Check In Luggage Faq
Do you have promo codes for flights?,Discounts
I am unhappy with the customer service I received.,Complaints
WHERE IS MY SUITCASE? IT DIDN'T COME OUT ON CAROUSEL.,Missing Bag
What is the medical policy for passengers with special needs?,Medical Policy
Ceck flight status for LH243.,Flight Status
My luggage arrived damaged. What do I do?,Damaged Bag
Is a lighter allowed in checked baggage?,Prohibited Items Faq
Is my flight on time?,Flight Status
How does the cancellation charge work?,Cancellation Policy
What seats are available in business class?,Seat Availability
Zhat items are prohibited on bookings?,Prohibited Items Faq
There is a tear in my suitcase after the booking.,Damaged Bag
Can I check two bags?,Check In Luggage Faq
"Hi, What documents are required for medical travel?",Medical Policy
I received a damaged baggage at DEL.,Damaged Bag
How can i change my booked flight to singapore? kindly,Change Flight
I need to change my ticket date to 2025-21-20.,Change Flight
"Hello, there is a tean in my suitcase after the flight. thanks",Damaged Bag
Can I carry a power bank in my luggage? kindly,Prohibited Items Faq
I want to report bad service on flight BA289.,Complaints
Is assistance available for disabled passengers?,Medical Policy
File a msising baggage report for flight AI104.,Missing Bag
What's the policy for carrying sports equipment? kindly,Sports Music Gear
"Hi, What is the checked luggagegage allowance for economy? thanks",Check In Luggage Faq
What is the pet travel policy?,Pet Travel
Are there any discounts for students? thank you,Discounts
Is there a penalty if i terminate my booking?,Cancellation Policy
HOW DOES THE CANCELLATION FEE WORK?,Cancellation Policy
Please cancel my booking for flight DL323.,Cancel Trip
"Hello, Can I travel with medical oxygen?",Medical Policy
What are the check in baggage rules?,Check In Luggage Faq
Can you help me reschedule flight DL120? thank you,Change Flight
Any special fares or offers available now?,Discounts
My bag did not arrive at SFO.,Missing Bag
Can I travel with medical oxygen? thank you,Medical Policy
Do I get a refund if I cancel within 24 hours?,Cancellation Policy
"Hello, Is there a penalty if I call it off my booking?",Cancellation Policy
What are the baggagegage rules for international trips?,Flights Info
Tell me about the call it offlation rules for tickets. thank you,Cancellation Policy
"Hello, What items are prohibited on flights?",Prohibited Items Faq
"Hi, lowest fare from delhi to delhi.",Fare Check
"Hello, Can I take my guitar on board?",Sports Music Gear
Is my flight on time?,Flight Status
Can I bring a violin as carry-on?,Sports Music Gear
How do I report a lost bag?,Missing Bag
My bag did not arrive at SFO. kindly,Missing Bag
I need to cancel my reservation for singapore. thanks,Cancel Trip
I am unhappy with the customer service I received.,Complaints
File a missing luggagegage report for booking ba536. please,Missing Bag
How does the cancellation fee work?,Cancellation Policy
Tell me about the cancellation rules for tickets.,Cancellation Policy
"Hello, i am unhappy with the customer service i received.",Complaints
Tell me about meals on this flight.,Flights Info
I want to make a complaint about my last flight.,Complaints
Can I reserve a seat on the ticket? kindly,Seat Availability
Are wi-fi services available on board? thank you,Flights Info
"Good evening, Are there seats available on trip DL568?",Seat Availability
"Good morning, What are the check-in baggage rules?",Check In Luggage Faq
"Hello, Has trip AI630 landed? thanks",Flight Status
Is overweight baggage charged and how much? thanks,Check In Luggage Faq
"Hi, Check price for trip BA529.",Fare Check
What items are prohibited on flights? please,Prohibited Items Faq
"Good evening, Is medical insurance included with the booking?",Insurance
What is the fare for a flight from Singapore to Mumbai on 2025-12-08?,Fare Check
What seats are available in business class? thank you,Seat Availability
CHECK TICKET STATE FOR AI209. PLEASE,Flight Status
"Good morning, Tell me about the terminatelation rules for tickets. thank you",Cancellation Policy
Can I carry a power bank in my bag? thanks,Prohibited Items Faq
Can I check two baggages?,Check In Luggage Faq
Are Wi-Fi services available on board? kindly,Flights Info
What is the checked baggage allowance for economy?,Check In Luggage Faq
How can I apply a coupon to my booking?,Discounts
"GOD EVENING, PLEASE CANCEL MY BOOKING FOR BOOKING LH765. THANKS",Cancel Trip
"Good morning, Any special fares or offers available now? thanks",Discounts
Change my flight to an earlier time please.,Change Flight
Do you fofer travel insurance?,Insurance
Who handles baggage damage claims? thanks,Damaged Bag
What is your cancellation policy?,Cancellation Policy
What's the status of flight SQ576?,Flight Status
Are sharp objects allowed in checked luggage?,Prohibited Items Faq
Is medical insurance included with the booking?,Insurance
MODIFY MY FLIGHT TO AN EARLIER TIME PLEASE.,Change Flight
What documents are required for pet travel? kindly,Pet Travel
Can you help me reschedule booking ua588?,Change Flight
"Hello, my bag did not arrive at sfo. please",Missing Bag
Do you have promo codes for tickets?,Discounts
CHECK FLIGHT STATUS FOR AI235.,Flight Status
I want to move my booking to another day.,Change Flight
WHAT SEATS ARE AVAILABLE IN BUSINESS CLASS?,Seat Availability
CHECK FLIGHT STATUS FOR AI126.,Flight Status
"Hey, Do you have promo codes for trips?",Discounts
Is a lighter permitted in checked baggage?,Prohibited Items Faq
How many carry-on bags are allowed?,Carry On Luggage Faq
What's the policy for carrying sports equipment?,Sports Music Gear
Check price for trip BA614. kindly,Fare Check
Do you have promo codes for flights?,Discounts
Is there any extra charge for sports gear?,Sports Music Gear
Can I birng my dog on the flight?,Pet Travel
How much is the ticket to New York next week? please,Fare Check
What's the current price for a one-way ticket to san francisco?,Fare Check
Please cancel my booking for flight DL303.,Cancel Trip
Are sharp objects allowed in checked luggage?,Prohibited Items Faq
How many carry-on bags are okay to bring?,Carry On Luggage Faq
I want to make a complaint about my last flight.,Complaints
What are the luggagegage rules for international flights?,Flights Info
I need to change my flight date to 2025-12-14.,Change Flight
I am unhappy with the customer service I received.,Complaints
What does the travel insurance cover? please,Insurance
What's the current price for a one-way ticket to Paris?,Fare Check
What is the pet travel policy?,Pet Travel
Is there a discount for early bookings?,Discounts
What is the boarding time before departure?,Flights Info
Can I bring my dog on the flight?,Pet Travel
Tell me about meals on this booking.,Flights Info
What does the travel insurance cover?,Insurance
"Hi, Is there any extra charge for sports gear?",Sports Music Gear
WHERE IS MY SUITCASE? IT DIDN'T COME OUT ON CAROUSEL.,Missing Bag
What is the fare for a booking from Singapore to London on 2025-12-04?,Fare Check
Is there a window seat left for my booking? kindly,Seat Availability
"Hi, Can I take my guitar on board?",Sports Music Gear
HOW DO I BUY INSURANCE FOR MY TICKET? KINDLY,Insurance
"Good evening, Where is my suitcase? It didn't come out on carousel. thanks",Missing Bag
Where is my suitcase? It didn't come out on carousel.,Missing Bag
What is the carry-on baggage allowance?,Carry On Luggage Faq
"Hello, I want to move my booking to another day.",Change Flight
"Good morning, When is ticket AI126 departing? kindly",Flight Status
File a missing baggage report for flight DL304. thank you,Missing Bag
I need to change my flight date to 2025-11-16.,Change Flight
What documents are required for pet travel?,Pet Travel
HOW DOES THE CANCELLATION FEE WORK?,Cancellation Policy
WHAT IS THE CARRY-ON BAGGAGEGAGE ALLOWANCE?,Carry On Luggage Faq
Who can i contact to file a complaint? thank you,Complaints
Any special fares or offers available now? thank you,Discounts
ANY SPECIAL FARES OR OFFERS AVAILABLE NOW?,Discounts
What's the state of flight LH143?,Flight Status
Lowest fare from London to Singapore. kindly,Fare Check
How do I cancel my trip scheduled on 2025-12-06?,Cancel Trip
How can I apply a coupon to my booking?,Discounts
Can I carry a backpack and a laptop? kindly,Carry On Luggage Faq
"Hi, How long is the layover in Tokyo?",Flights Info
Lowest fare from San Francisco to London.,Fare Check
What's the status of flight ba388?,Flight Status
"Hello, I had a terrible experience and want to complain.",Complaints
"Good evening, I received a damaged bag at LAX.",Damaged Bag
When is booking AI70 departing? thank you,Flight Status
What does the travel insurance cover? thank you,Insurance
What's the status of flight AI885? kindly,Flight Status
Is a lighter okay to bring in checked baggage?,Prohibited Items Faq
Is there a fee for traveling with a pet?,Pet Travel
I want to terminate tripght to New York. thanks,Cancel Trip
"Hey, How can I apply a coupon to my booking? thanks",Discounts
My luggage arrived damaged. what do i do?,Damaged Bag
How do I claim for a damaged bag?,Damaged Bag
I am unhappy with the customer service I received.,Complaints
File a missing baggage report for flight SQ407. kindly,Missing Bag
What is the boarding time before departure?,Flights Info
When is booking EK536 departing?,Flight Status
WHAT SEATS ARE AVAILABLE IN BUSINESS CLASS?,Seat Availability
Can I bring a violin as carry-on?,Sports Music Gear
How long is the layover n Mumbai? thank you,Flights Info
What is the carry-on baggage allowance? please,Carry On Luggage Faq
How can I apply a coupon to my booking?,Discounts
"Hi, What is the carry-on luggagegage allowance? kindly",Carry On Luggage Faq
CAN I CARRY A POER BANK IN MY LUGGAGE?,Prohibited Items Faq
Is medical insurance included with the booking?,Insurance
"HEY, ARE WI-FI SERVICES AVAILABLE ON BOARD?",Flights Info
"Good morning, Can I bring a violin as carry-on? please",Sports Music Gear
Is there a penalty if I cancel my booking? thanks,Cancellation Policy
What's the policy for carrying sports equipment?,Sports Music Gear
"Good evening, How can I move my booked flflighto Los Angeles?",Change Flight
How do I claim for a damaged bag? thank you,Damaged Bag
Check price for booking LH201. thanks,Fare Check
Can I check two bags?,Check In Luggage Faq
"Good morning, What items are prohibited on flights? please",Prohibited Items Faq
What seats are available in business class? thanks,Seat Availability
What is your call it offlation policy?,Cancellation Policy
"Hey, What is the checked baggage allowance for economy?",Check In Luggage Faq
Can i carry a backpack and a laptop?,Carry On Luggage Faq
"Good morning, I want to make a complaint about my last ticket.",Complaints
When is flight DL801 departing?,Flight Status
"Good morning, Who can I contact to file a complaint? kindly",Complaints
What can I bring in my carry-on?,Carry On Luggage Faq
What's the current price for a one-way ticket to Singapore?,Fare Check
"God evening, is medical insurance included with the booking?",Insurance
How do I check seat availability?,Seat Availability
What is the carry-on baggage allowance? thank you,Carry On Luggage Faq
"Good morning, I am unhappy with the customer service I received.",Complaints
What is the pet travel policy?,Pet Travel
How many carry-on baggages allowedowed? thank you,Carry On Luggage Faq
"Hello, I need to cancel my reservation for Paris.",Cancel Trip
How long is the layover in New York?,Flights Info
How can i move my booked flflighto delhi?,Change Flight
What does the travel insurance cover?,Insurance
"Hi, What documents are required for medical travel?",Medical Policy
"Hello, how can i apply a coupon to my booking?",Discounts
I can't find my checked-in luggage.,Missing Bag
What is the carry-on baggage allowance? please,Carry On Luggage Faq
What documents are required for medical travel?,Medical Policy
Can I carry a backpack and a laptop?,Carry On Luggage Faq
HOW MANY CARRY-ON BAGS ARE ALLOWED? PLEASE,Carry On Luggage Faq
"Hi, How do I call it off my trip scheduled on 2025-10-23?",Cancel Trip
"Good evening, Is assistance available for disabled passengers?",Medical Policy
Has flight EK611 landed?,Flight Status
What is the pet travel policy?,Pet Travel
How much is the ticket to Los Angeles next week?,Fare Check
What's the status of flight EK614?,Flight Status
Tell me about the call it offlation rules for tickets.,Cancellation Policy
"Hey, I can't find my checked-in luggage. thanks",Missing Bag
WHAT IS THE FARE FOR A TRIP FROM SAN FRANCISCO TO SAN FRANCISCO ON 2025-12-13? THANK YOU,Fare Check
How can I change my booked booking to New York?,Change Flight
Can I carry a backpack and a laptop?,Carry On Luggage Faq
Can I bring a vape on board?,Prohibited Items Faq
I want to move my booking to another day.,Change Flight
"Good evening, I want to move my booking to another day.",Change Flight
I need to change my flight date to 2025-10-26.,Change Flight
What is the medical policy for passengers with special needs?,Medical Policy
How many carry-on baggages okay to bringowed?,Carry On Luggage Faq
"Good evening, Can I take my guitar on board?",Sports Music Gear
Is my flight on time?,Flight Status
What is the medical policy for passengers with special needs? thanw you,Medical Policy
Can you help me reschedule booking BA342?,Change Flight
How do I call it off my trip scheduled on 2025-11-28?,Cancel Trip
"Good evening, Do I get a refund if I cancel within 24 hours? thank you",Cancellation Policy
Do you offer travel insurance?,Insurance
What is the fare for a ticket from San Francisco to London on 2025-12-20?,Fare Check
Where is ym suitcase? It didn't come out on carousel.,Missing Bag
"GOOD MORNING, WHAT'S THE CURRENT PRICE FOR A ONE-WAY TICKET TO TOKYO? PLEASE",Fare Check
"Hi, Is there a discount for early bookings? kindly",Discounts
"Good morning, I want to cancel my flight to Mumbai.",Cancel Trip
How much is the ticket to tokyo next week?,Fare Check
What's the tiimng of trip UA421?,Flight Status
What is the pet travel policy?,Pet Travel
File a missing baggage report for flight DL271.,Missing Bag
"Hey, there is a tear in my suitcase after the flight. kindly",Damaged Bag
What does the travel insurance cover?,Insurance
"Hello, My luggage arrived damaged. What do I do? thank you",Damaged Bag
How can I apply a coupon to my booking?,Discounts
What is the checked baggage allowance for economy? kindly,Check In Luggage Faq
Are wi-fi services available on board?,Flights Info
How do I report a lost bag?,Missing Bag
Do you have promo codes for bookings?,Discounts
"Hello, how do i claim for a damaged luggage? please",Damaged Bag
Can I carry a backpack and a laptop?,Carry On Luggage Faq
"Hello, I need to cancel my reservation for London. thank you",Cancel Trip
What's the state of trip UA236?,Flight Status
Are Wi-Fi services available on board?,Flights Info
What is your terminatelation policy?,Cancellation Policy
"Good morning, What is the checked baggage allowance for economy?",Check In Luggage Faq
"Hello, How do I check seat availability? please",Seat Availability
What is the checked baggage allowance for economy?,Check In Luggage Faq
Is there a window seat left for my booking?,Seat Availability
"Hey, Who handles baggagegage damage claims? please",Damaged Bag
"Good evening, How do I buy insurance for my ticket?",Insurance
